Index,Hypothesis,Reference,Sentence BLEU,ROUGE-L F1,BERTScore F1,METEOR
1,The image is of a train on the tracks. The train is red and white. There is a large white building behind the train.,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.,0.03703253251462529,0.4444444395061729,0.8867222666740417,0.25155686660111437
2,This is an image of a clock. The clock is black and has a white face. There is a silver face on the top of the clock and a black face in the middle of it.,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.,0.01542345413162388,0.24999999507812506,0.860501766204834,0.14245014245014243
3,There is a wooden table in the middle of a room. There are a lot of books on top of the table. The table is made of wood and has a white table cloth on it.,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.,0.09507632036752922,0.3999999950024692,0.9162017703056335,0.26958694816374973
4,A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall.,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.,0.0166095537210989,0.34042552709823454,0.8740781545639038,0.2169918009612666
5,A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man.,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",0.03049891349496528,0.2745097991541715,0.868109941482544,0.2570199275362318
6,There are two horses in the field. One of the horses is black and the other one is white. There is a fence behind the horse.,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.,0.021320565395732852,0.35555555067654326,0.8870086669921875,0.14754098360655737
7,A woman is sitting at a table. She is wearing a white t-shirt and blue jeans. There is a silver laptop on top of the woman's head.,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.,0.013255573089995072,0.2909090860429753,0.8918879628181458,0.16049382716049382
8,A man is standing on a wooden bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man.,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,0.01003275831820316,0.31372548535178785,0.8731988072395325,0.13550106609808102
9,A man is sitting on a bench. The bench is made of wood. There is a silver chain link fence behind the man.,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,0.004915431212166986,0.04255318676324181,0.8266140222549438,0.11834319526627217
10,A man is standing on a wooden bench. The bench is made of wood. There is a silver chain link fence behind the man.,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",0.010662974756266723,0.14814814358710576,0.865774393081665,0.10964912280701757
