Index,Hypothesis,Reference,Sentence BLEU,ROUGE-L F1,BERTScore F1,METEOR
1,"A large modern building with a flat roof and a lot of glass windows is in the background. There is a street in front of the building with a white car, a black car, and a motorcycle parked. There are several people walking on the sidewalk in front of the building. There is a street light in front of the building.",A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.,0.3006362675425098,0.6153846106508877,0.9261209964752197,0.7179111746401194
2,A skier in a yellow jacket is jumping over a snowy hill.,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.,9.6799580900065e-156,0.31578946957063714,0.8934329748153687,0.0764525993883792
3,Bedroom with sliding glass door.,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.,0.0,0.0,0.8304116129875183,0.0
4,A steam locomotive is pulling a passenger car through a train yard.,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.,1.235045654479849e-232,0.20512820107823804,0.8636514544487,0.06561679790026247
5,"A yellow and white bus with the number 1224 on the front. The bus is parked in front of a strip mall with a sign that says ""Preferred One"" on the back.","A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",4.960961753476153e-155,0.3214285664859694,0.8900241255760193,0.23659892147228115
6,A sheep house with sheep grazing in front of it.,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.,6.867079359098295e-79,0.4571428533224491,0.8982340693473816,0.24302551903114183
7,Man holding white wii remote in his hands.,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.,1.383163948906651e-156,0.2999999968,0.884319543838501,0.14830284445384367
8,"Two cyclists are riding on a bike lane next to a green fire hydrant. In the background, there are several cars driving on the street.",There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,1.998813747767939e-155,0.274509799077278,0.8802732825279236,0.11802575107296137
9,Three cell phones and a knife are on a table.,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,0.0,0.0,0.8553382754325867,0.16370192307692308
10,Black top hat on mannequin head next to a clock.,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",2.0164519080007304e-156,0.2666666632098766,0.874826192855835,0.14281674208144793
11,A yellow and white train is at a train station.,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.,1.1782205215018183e-155,0.370370365925926,0.9118892550468445,0.12915129151291513
