filename,caption
test_1,A wooden bench is sitting on a bench. There is a black and white picture hanging on the wall. The bench has a red and black handle. 
test_2,A black and white bird is standing on top of a large rock wall. The bird has a long black beak and is looking down at the ground. There is a white building behind the bird. 
test_3,There is a white toilet in the middle of the room. There are white shelves on the wall behind the toilet. The wall is made of wood. 
test_4,A wooden bench is sitting on top of a concrete platform. There is a black and white sign above the bench. The sign is white with black writing on it. 
test_5,There is a red and white bus on the street. The bus is white and blue. There are trees behind the bus. 
test_6,A wooden bench is sitting on the ground. There is a black and white clock on top of the bench. The clock is black with white numbers on it. 
test_7,There is a wooden table in the middle of a room. There are two chairs in front of the table. The table is made of wood and the chairs are white. 
test_8,A wooden bench is sitting on top of a brick wall. There is a black and white clock on the bench. The clock has a white face and black hands. 
test_9,A wooden bench is sitting in a room. There is a wooden table in front of the bench. The bench has a black handle. 
test_10,There is a clock on the wall. The clock is black and white. It has a white face and a black face. There is also a silver face on top of the clock. 
test_11,There is a red and white bus on the street. The bus is white and blue. There are trees behind the bus. 
test_12,A black and white photo of a man and a dog. The man is wearing a blue shirt and blue jeans. There is a black dog in front of the man. 
test_13,There is a wooden table in a room. There are books on top of the table. The table is made of wood and has a white table cloth on it. 
test_14,A black and white dog is sitting on a bench. The bench is made of wood. There is a white fence behind the dog. 
test_15,A wooden bench is sitting on the ground. There is a black and white picture hanging from the wall above the bench. The picture is of a man in a blue shirt and blue shorts. 
test_16,There is a white toilet in the middle of the room. The toilet seat is white and the lid is open. There is also a black and white mirror on the wall. 
test_17,There is a wooden table in the middle of a room. There is an umbrella over the top of the table. The table is made of wood and the umbrella is white. 
test_18,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a white wall behind the cat. 
test_19,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
test_20,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
test_21,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
test_22,There is a black and white picture of a dog. The dog is wearing a blue shirt and blue jeans. There is also a red and black dog with a white collar. 
test_23,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
test_24,A black and white bird is standing on top of a wooden bench. The bench is made of wood. There is a white and blue bird next to the bench with a black tail. 
test_25,There is a black and white photo of a dog. The dog is wearing a blue shirt and blue pants. There is also a red and black dog on the other side of the photo.
test_26,A black and white photo of a man and a woman. The man is wearing a blue shirt and blue jeans. He is holding a white remote control in his hand. There is a large white building behind the man. 
test_27,A black and white photo of a man and a woman. The man is wearing a blue shirt and blue jeans. He is holding a white remote control in his hand. There is a large white building behind the man. 
test_28,A wooden bench is sitting on the ground. There is a black and white clock on top of the bench. The clock is black with white numbers on it. 
test_29,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
