input_text,label
A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.  <SEP> This is an image of a city street. There is a man walking on the sidewalk. The man is wearing a white shirt and gray pants. He is holding a black and white sign. This sign is blue with white letters on it. A <SEP> 0,1
"A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.  <SEP> A large modern building with a flat roof and a lot of glass windows is in the background. There is a street in front of the building with a white car, a black car, and a motorcycle parked. There are several people walking on the sidewalk in front of the building. There is a street light in front of the building. <SEP> 0",0
A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.  <SEP> A man is skiing down a hill. He is wearing a black jacket and black pants. There is snow on the hill behind him.  <SEP> 0,1
A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.  <SEP> A skier in a yellow jacket is jumping over a snowy hill. <SEP> 0,0
There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.  <SEP> A large bed is in a room. There is a large window on the wall behind the bed. The bed has a white blanket on top of it.  <SEP> 0,1
There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.  <SEP> Bedroom with sliding glass door. <SEP> 0,0
A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.  <SEP> This is an image of a train station. The station is empty. There is a large train on the tracks. the train is blue and red. there are wires above the platform. wires are yellow and black. <SEP> 0,1
A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.  <SEP> A steam locomotive is pulling a passenger car through a train yard. <SEP> 0,0
"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor. <SEP> This is an image of a city street. The street is very busy. There is a bus going down the side of the street that is white and red. It is traveling at a very high speed and there are many cars on the road. <SEP> 0",1
"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor. <SEP> A yellow and white bus with the number 1224 on the front. The bus is parked in front of a strip mall with a sign that says ""Preferred One"" on the back. <SEP> 0",0
A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.  <SEP> This is an image of a house. The house is made of brick. There is a brown and white dog walking in front of the brick wall.  The dog has a black collar around its neck. It is wearing a blue shirt with a <SEP> 0,1
