filename,caption
test_1.jpg,A large modern building with a glass front is in the background. There are several cars parked in front of the building. There are a few people walking in front of the building.
test_2.jpg,A skier is jumping off a snowy mountain.
test_3.jpg,A bedroom with a large window and a door.
test_4.jpg,A train is on a track next to a bus.
test_5.jpg,A bus is parked in front of a store.
test_6.jpg,A sheep is grazing in the front yard of a house.
test_7.jpg,A woman is taking a selfie in front of a black and white QR code.
test_8.jpg,A cyclist rides down a busy street with cars parked on either side.
test_9.jpg,A close up of a cell phone and a wallet.
test_10.jpg,A woman's face is obscured by a pixelated pattern.
test_11.jpg,A yellow and black train is on the tracks.
test_12.jpg,A man is riding an elephant in a river.
test_13.jpg,A plate of food with a fork and knife in front of it.
test_14.jpg,A dog with its ears perked up is in the center of the image.
test_15.jpg,A street scene with a person walking down the sidewalk.
test_16.jpg,A large yellow bulldozer sits behind a row of blue portable toilets.
test_17.jpg,A bathroom with two sinks and a shower curtain.
test_18.jpg,A man surfing on a wave.
test_19.jpg,A close up of a pizza with a black background.
test_20.jpg,A red fire hydrant sits in front of a white and red storage unit.
test_21.jpg,A field of green grass with a blue sky and four red airplanes flying in the distance.
test_22.jpg,A plane is taking off in front of a fence.
test_23.jpg,A woman is on a blue inflatable slide.
test_24.jpg,"The image shows a scene of a grassy field with a few people in it. The foreground is dominated by a person in a green shirt and black shorts, who is in a squatting position. The person is wearing a green shirt and black shorts, and their legs are spread wide apart. Their arms are bent at the elbows, and their hands are resting on their knees. The person's face is not visible, but their body is well-defined and muscular.

In the background, there are several other people in the scene. There are two people standing, one of whom is wearing a red shirt and the other is wearing a blue shirt. The person in the red shirt is standing to the left of the person in the green shirt, and the person in the blue shirt is standing to the right. The people in the background are not as clearly visible as the person in the foreground, but they appear to be engaged in some activity.

The background of the image is a grassy"
test_25.jpg,A tennis player is throwing a tennis ball.
test_26.jpg,"A vase of fake flowers with red, orange and yellow flowers."
test_27.jpg,A beach scene with a kite flying in the sky.
test_28.jpg,A plate of food with broccoli on it.
test_29.jpg,A stop sign is in the middle of a blue sky.
test_30.jpg,A tennis player stands in front of a QR code.
test_31.jpg,A beach scene with a blue sea and a rocky cliff.
test_32.jpg,A QR code is in the bottom right corner of the image. The QR code is made up of black and white squares. The QR code is in front of a person wearing a hat. The person is standing on a dirt field. There is another person in the background wearing a yellow shirt. The person in the yellow shirt is holding a flag. There are trees in the background. The sky is blue.
test_33.jpg,A sheep standing on a rocky shore of a lake in the mountains.
test_34.jpg,A white truck is parked in a parking lot.
test_35.jpg,A night time photo of a road sign that says BUMBLE in yellow letters with a black border.
test_36.jpg,A close up of a person's shoulder and a red double decker bus in the background.
test_37.jpg,A group of people are standing in the snow in front of a ski lift.
test_38.jpg,A white horse is grazing in a field.
test_39.jpg,A person walking on a dirt path in a mountainous area.
