filename,caption
test_1,The image is of a train on the tracks. The train is red and white. There is a large white building behind the train. 
test_2,This is an image of a clock. The clock is black and has a white face. There is a silver face on the top of the clock and a black face in the middle of it. 
test_3,There is a wooden table in the middle of a room. There are a lot of books on top of the table. The table is made of wood and has a white table cloth on it. 
test_4,A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall. 
test_5,A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man. 
test_6,There are two horses in the field. One of the horses is black and the other one is white. There is a fence behind the horse. 
test_7,A woman is sitting at a table. She is wearing a white t-shirt and blue jeans. There is a silver laptop on top of the woman's head. 
test_8,A man is standing on a wooden bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man. 
test_9,A man is sitting on a bench. The bench is made of wood. There is a silver chain link fence behind the man. 
test_10,A man is standing on a wooden bench. The bench is made of wood. There is a silver chain link fence behind the man. 
test_11,A red and white train is on the tracks. There is a yellow and green sign on top of the train. The train has a red stripe down the side of it. 
test_12,A man is sitting on a bench. The bench is made of wood. There is a silver chain link fence behind the man. 
test_13,This is an image of a toilet. The toilet is white. There is a black handle on the side of the toilet that has a white handle. On the other side there is another handle with a red handle and white handles. 
test_14,A black and white dog is standing on the ground. The dog has a black collar around its neck. There is a white fence behind the dog. 
test_15,A black and white bird is standing on top of a wooden bench. The bench is made of wood. There is a white wall behind the bird. 
test_16,A white toilet is sitting on top of a white wall. There is a black door on the wall behind the toilet. 
test_17,This is an image of a bathroom. The bathroom is white. There is a mirror on the wall above the toilet. It is made of glass. On top of the mirror there are two white towels on a white towel rack. Next to the
test_18,A wooden bench is sitting on top of a bench. There is a black and white picture hanging on the wall. The bench has a white handle. 
test_19,A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall.
test_20,A wooden bench is sitting on the ground. There is a black and white picture hanging from the wall above the bench. The picture is of a man in a blue shirt and blue pants. 
test_21,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a white wall behind the cat. 
test_22,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
test_23,A man is standing on top of a skateboard. He is wearing a blue shirt and blue shorts. There is a white fence behind the man. 
test_24,A man is standing on top of a skateboard. He is wearing a blue shirt and blue shorts. There is a white fence behind the man. 
test_25,A man is standing on a tennis court. He is wearing a white shirt and blue shorts. There is a black and white net in front of him. 
test_26,A wooden bench is sitting on the ground. There is a black and white picture hanging from the bench. The picture is on a white wall. 
test_27,A black and white bird is standing on top of a white and blue bench. The bench is made of wood. There is a black pole next to the bird. 
test_28,There is a white bowl on the table. There are bananas on top of the bowl. The bananas are yellow and green. 
test_29,A black and white cat is sitting on top of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the cat. 
test_30,A man in a blue shirt and black pants is holding a white frisbee in his hand. The man is wearing a black and white striped shirt. There are trees behind the man. 
test_31,There is a black and white bird in the water. The water is calm and clear. There are small rocks on the ground in front of the bird.
test_32,A black and white striped cat is sitting on top of a wooden bench. The bench is made of wood. There is a white fence behind the cat. 
test_33,A large brown and white bird is standing on top of a large rock wall. The bird has a long black beak and is looking down at the ground. There is a small brown building behind the bird. 
test_34,A man is standing in front of a wooden bench. The bench is made of wood. There is a silver chain link fence behind the man. 
test_35,There is a wooden bench sitting on the ground. The bench is made of wood. There are two windows in the back of the bench. One window is white and the other is black. 
test_36,A little girl is sitting on a bench. The bench is made of wood. She is wearing a white shirt and blue jeans. There is a black and white dog on the bench next to her. 
test_37,A man is sitting on a bench. The bench is made of wood. There is a white wall behind the man. 
