Filename,Caption
test_1,This is an image of a street. The street is very busy with traffic. There is a large white building with a clock on the top of it. This clock has a white face and black numbers. 
test_2,A man is skiing down a hill. He is wearing a black jacket and black pants. There is snow on the hill behind him. 
test_3,A bed is in the corner of the room. The bed has a white blanket on it. There is a window on the wall behind the bed. 
test_4,There is a train on the tracks. The train is yellow and blue. There is an orange pole with a sign on it. 
test_5,"This is an image of a bus. The bus is white with a red stripe down the side of it. There is a blue sign on the front of the bus with the word ""Birmingham"" written on it in white lettering. "
test_6,This is a picture of a house. The house is made of wood. There is grass on the ground. the grass is green and brown. 
test_7,A man is sitting in a chair. He is wearing a white shirt. There is a large window behind the man. 
test_8,A man is riding his bike down the street. He is wearing a black jacket and black pants. There is a red stop sign on the side of the road. 
test_9,This is a picture of a computer. The computer is sitting on a black desk. There are buttons on the computer that are black and white. One of the buttons is red and the other button is green. 
test_10,The image is of a woman in a wedding dress. She is wearing a white wedding ring. The woman is holding a mirror in her hand. There is a large window behind the woman. 
test_11,There is a train on the tracks. The train is yellow and blue. There are wires above the train. 
test_12,There are two elephants standing in the water. There is a man standing behind the elephants. The man is wearing a white shirt. 
test_13,A white plate is sitting on a table. There is food on top of the plate. 
test_14,A black and white cow standing in a field. There is a fence behind the cow. 
test_15,A man is skateboarding outside on a sunny day. He is wearing a black shirt and black pants. There are trees behind the man. 
test_16,There is a train on the tracks. The train is yellow and blue. There is gravel on top of the train. 
test_17,A bathroom with white walls. There is a mirror on the wall above the sink. The sink is white. 
test_18,A man in a black wet suit is surfing on a white surfboard. The man is holding his arms out to balance himself. There is a large wave in the water behind him. 
test_19,A pizza is sitting on top of a white plate. There is cheese and onions on the pizza. 
test_20,This is a picture of a building. The building is made up of brick. There are many windows on the side of the building . The windows are black and white. 
test_21,A large white and blue airplane is flying in the sky. There are people standing on the grass behind the airplane. 
test_22,There is a large airplane in the sky. The airplane is white and blue. There is writing on the side of the airplane. 
test_23,A man is standing on a beach. He is wearing a white shirt and blue shorts. There is sand on the beach behind him. 
test_24,A woman is playing tennis on a tennis court. She is wearing a white tank top and white shorts. There is a green ball in the air in front of her. 
test_25,A woman is standing on a tennis court playing tennis. She is wearing a short sleeve shirt and white shorts. A green tennis ball is soaring in the air towards her. There is a fence behind the woman. 
test_26,A vase is sitting on a table. The table is made of wood. There is a white candle on the table next to it. 
test_27,This is an image of a beach. The water is calm and clear. There is a person surfing on a wave in the water. They are wearing a white shirt and blue shorts. 
test_28,A white plate is sitting on a white table. There is broccoli on top of the broccoli. 
test_29,There is a sign on the pole. The sign is red and white. There are trees behind the sign. 
test_30,A man is standing on a tennis court playing tennis. He is wearing a short sleeve shirt and white shorts. A green tennis ball is soaring in the air towards the man. The court is green with white lines on it. 
test_31,There is a boat in the water. The boat is white and blue. There is water behind the boat. 
test_32,A man in a blue shirt and black pants is flying a kite. There is a white building behind the man. 
test_33,A herd of sheep are grazing in a field.  The sheep have long wool coats and black and white fur. The field has green grass and weeds on it. There are trees in the distance behind the sheep.
test_34,This picture is taken outside on a sunny day. A truck is parked on the side of a street. The truck has a large white truck bed on top of it. There is a white building behind the truck. 
test_35,This is an image of a street. The street is very busy with traffic. There is a car parked on the side of the street with a red license plate on it. 
test_36,This is a picture of a cake. The cake has white frosting on top of it. There are two people sitting at the table. One of the people is wearing a white shirt. 
test_37,A group of people are standing outside on a cloudy day. They are all wearing jackets and pants. There is a man in a blue shirt standing in front of them. 
test_38,This is an image of an animal. The animal is a zebra. There is grass and weeds in the image. Grass is tall and brown. Some of the grass is green and some of it is brown and white. 
test_39,This is an image of a mountain. The mountain is covered in snow. There is snow on the ground. the snow is white. there are mountains in the background.
test_40,"This is an image of a street. The street is very busy. There is a bus going down the road. It is white and red and has a sign on the side of it that says ""North Pole"". The bus is traveling in the"
test_41,A man is standing in a kitchen. He is wearing a white chef's shirt. There is a silver fork on the table in front of him. 
test_42,This is an image of a man and a woman. The man is wearing a white shirt and white pants. He is standing on a wooden bench. There is water in front of the man. 
test_43,A woman is standing on a grassy field. She is wearing a white shirt and black pants. There is a red and white soccer ball in the air in front of her. 
test_44,This is a picture of a boat. The boat is white and has a blue sail on it. There are trees on the other side of the water. 
test_45,A man is skateboarding outside on a sunny day. He is wearing a black shirt and black pants. The skateboard is black and the wheels are black. There are trees behind the man. 
test_46,There is a large white boat in the water. There are people standing on the sand behind the boat. 
test_47,This is an image of a bus stop. The bus is white with a red stripe down the side of it. There is a man standing in front of the bus. He is wearing a black shirt and black pants. 
test_48,This is an image of a bus. The bus is white with a red stripe down the side of it. There is a man in a blue shirt standing in front of the bus with his arms crossed. 
test_49,A man is riding a horse. The horse is brown and has a black mane on it. There are trees behind the man. 
test_50,This is an image of a street. The street is very busy with traffic. There is a red and white sign on the side of the road. This sign is white and has a black arrow on it. 
test_51,A black truck is parked on the side of a street. The truck has a red license plate on it. There is a white building behind the truck. 
