Index,Hypothesis,Reference,Sentence BLEU,ROUGE-L F1,BERTScore F1,METEOR
1,A black and white photo of a street with a yellow sign in the middle.,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.,1.6800901777322702e-155,0.4117647010380623,0.8721754550933838,0.10606060606060605
2,A black background with blue and white squares scattered throughout.,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.,8.409537640843914e-233,0.05405405010956932,0.8412327766418457,0.015384615384615384
3,A black and white photo of a room with a large window and a door.,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.,9.685673513564839e-156,0.17647058366782017,0.8652192950248718,0.07633587786259541
4,Black background with many small squares in it.,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.,2.0822294655790725e-233,0.1111111076543211,0.8505572080612183,0.039787798408488055
5,A collection of squares of different sizes and colors.,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",2.8611271095426387e-233,0.10256409930309017,0.8297685980796814,0.025252525252525252
6,A black metal fence with squares of different sizes and colors.,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.,2.137047302738868e-232,0.16216215798392997,0.8619471788406372,0.051724137931034475
7,A black and white photo of a window with squares missing.,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.,8.448008408714654e-233,0.23255813572742023,0.8450901508331299,0.051413881748071974
8,A black and white image of a road with a person riding a bike in the middle.,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,8.751294659373445e-156,0.2666666622222223,0.8589531183242798,0.06550218340611354
9,A black and white image with a white keyboard in the center.,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,1.4398433836328505e-232,0.049999996012500325,0.8122385144233704,0.13039415562351342
10,A black and white photo of a woman with her eyes closed and a man with his hand on her shoulder.,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",1.695417201049781e-155,0.23076922636834327,0.8503809571266174,0.13245033112582782
11,A yellow airplane is parked at an airport.,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.,1.0327450581717792e-232,0.23076922650887582,0.8922541737556458,0.05576208178438661
12,A close up of a person's face with a black background.,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree.,8.049497353016027e-156,0.157894732963989,0.8470701575279236,0.06309148264984227
